;rv5_ss;rsv_ss;medrv;close_price;rv5;open_price;rv10_ss;nobs;open_to_close;close_time;rk_th2;rk_parzen;rv10;bv_ss;rk_twoscale;rsv;bv;open_time
2000-01-04;0.0001374257656044193;0.00010209251970519682;5.963294099454369e-05;7268.1;0.0001374257656044193;7484.8;0.00016688053452232343;13250.0;-0.029379388025137843;170701.0;0.00010155915123025974;0.00023587292439094642;0.0001668805345223234;0.00010062736557760562;0.00010095018341876829;0.0001020925197051968;0.0001006273655776056;90202.0
2000-01-05;0.00015683059952239974;8.003146208241363e-05;4.422236172820486e-05;7181.3;0.00015683059952239972;7153.1;0.00019105273639073332;13850.0;0.003934595990127576;170519.0;0.00010745825897060719;0.00016912646082022393;0.00019105273639073334;0.00015511452199713988;0.00011112167149641486;8.003146208241363e-05;0.00015511452199713988;90200.0
2000-01-06;0.0001239413588780279;4.441749309049975e-05;7.09397322373174e-05;7280.6;0.0001239413588780279;7177.2;0.00016036846549559173;13110.0;0.014303941538495124;170458.0;8.408001992385759e-05;0.00013783134960832457;0.00016036846549559173;0.0001226034229427694;8.539059439109745e-05;4.441749309049975e-05;0.00012260342294276942;90200.0
2000-01-07;8.26897137162977e-05;3.2941090369935603e-05;2.2610844532172387e-05;7448.0;8.268971371629769e-05;7338.7;8.022125829843173e-05;12877.0;0.014783824751095409;170515.0;6.601829873592511e-05;5.569004787656934e-05;8.022125829843173e-05;7.496724541154134e-05;6.653837046395864e-05;3.2941090369935603e-05;7.496724541154135e-05;90201.0
2000-01-10;4.4086673952325294e-05;2.641455935939805e-05;2.161139515525455e-05;7452.8;4.408667395232529e-05;7518.7;5.418651074082231e-05;12067.0;-0.008803449969292387;170336.0;4.893756420497127e-05;5.476784686183499e-05;5.4186510740822294e-05;4.730592927805889e-05;4.840580717721075e-05;2.6414559359398045e-05;4.730592927805889e-05;90201.0
2000-01-11;6.769094323293937e-05;3.3066767611576277e-05;3.4260454398626e-05;7420.1;6.769094323293937e-05;7440.8;7.692186425360314e-05;10760.0;-0.0027858357686962876;170520.0;6.443720014632404e-05;8.558338868023836e-05;7.692186425360314e-05;6.813469482367198e-05;6.245139582035009e-05;3.3066767611576277e-05;6.813469482367198e-05;90201.0
2000-01-12;5.965226767205047e-05;1.971345186672186e-05;2.3495637988407378e-05;7440.2;5.965226767205046e-05;7374.3;5.6586800749793685e-05;10948.0;0.008896747737214383;170454.0;5.527574247608694e-05;4.031826781002502e-05;5.658680074979368e-05;5.927467756750248e-05;5.4188143625442957e-05;1.9713451866721855e-05;5.927467756750248e-05;90200.0
2000-01-13;3.883904922124437e-05;2.0041027041885377e-05;1.6282708448920826e-05;7436.9;3.883904922124437e-05;7451.8;3.732788827546306e-05;10865.0;-0.0020015185978916605;170142.0;4.0905761390870025e-05;2.6248303059947875e-05;3.732788827546306e-05;4.405521915830663e-05;3.9001306209361396e-05;2.0041027041885373e-05;4.405521915830664e-05;90200.0
2000-01-14;4.3222980088643795e-05;1.4518036853164996e-05;1.6451350739327453e-05;7513.9;4.322298008864379e-05;7483.7;3.828063179924201e-05;11139.0;0.004027316479771059;170432.0;4.3446835521967494e-05;2.7642112888199857e-05;3.828063179924201e-05;3.24374666546391e-05;4.287039841490807e-05;1.4518036853164996e-05;3.24374666546391e-05;90200.0
2000-01-17;2.5673383450882056e-05;1.4455060375133612e-05;1.9110997627963924e-05;7507.0;2.5673383450882052e-05;7536.2;2.9018780034656617e-05;11052.0;-0.0038821576091692123;170623.0;3.6069892511586226e-05;2.195079345649457e-05;2.9018780034656617e-05;2.7890413484875512e-05;3.569816670416631e-05;1.445506037513361e-05;2.7890413484875512e-05;90201.0
2000-01-18;4.814295028912018e-05;3.334741275392375e-05;2.429606175668695e-05;7404.8;4.814295028912018e-05;7510.9;5.996467278589718e-05;11103.0;-0.014226860231660865;171505.0;4.868869761079962e-05;6.492876728013785e-05;5.996467278589718e-05;4.637894084407287e-05;4.808592857982367e-05;3.334741275392375e-05;4.637894084407288e-05;90201.0
